Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1987,09,18.6,Y
IDCJAC0001,061078,1987,10,172.4,Y
IDCJAC0001,061078,1987,11,134.0,Y
IDCJAC0001,061078,1987,12,123.8,Y
IDCJAC0001,061078,1988,01,93.0,Y
IDCJAC0001,061078,1988,02,86.4,Y
IDCJAC0001,061078,1988,03,78.0,Y
IDCJAC0001,061078,1988,04,335.2,Y
IDCJAC0001,061078,1988,05,42.2,Y
IDCJAC0001,061078,1988,06,62.6,Y
IDCJAC0001,061078,1988,07,87.6,Y
IDCJAC0001,061078,1988,08,42.6,Y
IDCJAC0001,061078,1988,09,86.6,Y
IDCJAC0001,061078,1988,10,3.8,Y
IDCJAC0001,061078,1988,11,153.2,Y
IDCJAC0001,061078,1988,12,56.8,Y
IDCJAC0001,061078,1989,01,141.8,Y
IDCJAC0001,061078,1989,02,117.0,Y
IDCJAC0001,061078,1989,03,123.6,Y
IDCJAC0001,061078,1989,04,164.0,Y
IDCJAC0001,061078,1989,05,101.8,Y
IDCJAC0001,061078,1989,06,260.8,Y
IDCJAC0001,061078,1989,07,42.0,Y
IDCJAC0001,061078,1989,08,17.4,Y
IDCJAC0001,061078,1989,09,7.8,Y
IDCJAC0001,061078,1989,10,38.0,Y
IDCJAC0001,061078,1989,11,95.0,Y
IDCJAC0001,061078,1989,12,66.8,Y
IDCJAC0001,061078,1990,01,39.4,Y
IDCJAC0001,061078,1990,02,599.6,Y
IDCJAC0001,061078,1990,03,124.2,Y
IDCJAC0001,061078,1990,04,260.4,Y
IDCJAC0001,061078,1990,05,103.8,Y
IDCJAC0001,061078,1990,06,88.0,Y
IDCJAC0001,061078,1990,07,86.2,Y
IDCJAC0001,061078,1990,08,212.2,Y
IDCJAC0001,061078,1990,09,96.8,Y
IDCJAC0001,061078,1990,10,85.2,Y
IDCJAC0001,061078,1990,11,21.6,Y
IDCJAC0001,061078,1990,12,21.4,Y
IDCJAC0001,061078,1991,01,81.6,Y
IDCJAC0001,061078,1991,02,5.6,Y
IDCJAC0001,061078,1991,03,32.4,Y
IDCJAC0001,061078,1991,04,4.4,Y
IDCJAC0001,061078,1991,05,166.8,Y
IDCJAC0001,061078,1991,06,137.8,Y
IDCJAC0001,061078,1991,07,43.0,Y
IDCJAC0001,061078,1991,08,6.8,Y
IDCJAC0001,061078,1991,09,3.4,Y
IDCJAC0001,061078,1991,10,35.6,Y
IDCJAC0001,061078,1991,11,39.4,Y
IDCJAC0001,061078,1991,12,229.2,Y
IDCJAC0001,061078,1992,01,55.4,Y
IDCJAC0001,061078,1992,02,274.4,Y
IDCJAC0001,061078,1992,03,134.0,Y
IDCJAC0001,061078,1992,04,124.0,Y
IDCJAC0001,061078,1992,05,91.8,Y
IDCJAC0001,061078,1992,06,112.4,Y
IDCJAC0001,061078,1992,07,41.4,Y
IDCJAC0001,061078,1992,08,30.8,Y
IDCJAC0001,061078,1992,09,35.6,Y
IDCJAC0001,061078,1992,10,28.4,Y
